2024-06-22 12:16:55.445 [info] Log level: Info
2024-06-22 12:16:55.445 [info] Validating found git in: "git"
2024-06-22 12:16:55.445 [info] Using git "2.45.2" from "git"
2024-06-22 12:16:55.445 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:16:55.455 [info] > git rev-parse --show-toplevel [7ms]
2024-06-22 12:17:23.546 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:17:47.797 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:18:42.500 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:18:44.802 [info] > git rev-parse --show-toplevel [3ms]
2024-06-22 12:20:24.789 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:22:12.635 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:22:13.065 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:22:13.730 [info] > git rev-parse --show-toplevel [3ms]
2024-06-22 12:22:14.973 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:22:15.616 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:23:21.532 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:23:29.787 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:23:39.829 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:32:01.568 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:32:05.318 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:32:39.161 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:34:27.373 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:34:29.701 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:49:48.679 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:51:07.724 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:54:35.365 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:54:38.357 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:55:31.062 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:55:34.408 [info] > git rev-parse --show-toplevel [3ms]
2024-06-22 12:55:41.751 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:56:40.601 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:56:47.486 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:57:13.288 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:57:16.399 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:58:02.784 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:58:03.216 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:58:09.220 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:58:32.141 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:58:37.732 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 12:58:39.213 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:58:39.860 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 12:58:42.245 [info] > git rev-parse --show-toplevel [3ms]
2024-06-22 12:59:11.957 [info] > git rev-parse --show-toplevel [1ms]
2024-06-22 13:00:10.979 [info] > git rev-parse --show-toplevel [2ms]
2024-06-22 13:00:11.462 [info] > git rev-parse --show-toplevel [2ms]
